target_id,project,program,tc_category,seed_id,parent_seed_id,content_sha256,input_size,reached_R,triggered_T,reached_count,triggered_count,arrival_timestamp,time_s,coverage_hash,native_DT,tc_root_state,replay_hash,replay_status,metadata_status,source_seedbank,source_manifest,source_seed,producer
SSL015,openssl,pkcs7_decode,binary-state-null,"id:000000,sha256:3e61d0d37f7bdaf6",ROOT,3e61d0d37f7bdaf65681ec6be8b44584d6869300538d2e44c2e818c470b48156,515,1,0,2,0,0,0,trace:0xda811339c83a1970,1,R=2;T=0,8ccd8c4b813874425a673b6b15e6472665353424df6944e357b0a7d88e59339c,kept_rnt,formal_replay_verified_rnt,experiments/magma_workspace/magma/targets/openssl/corpus/cms,artifacts/formtrig_native_readiness/raw/ssl015_pkcs7_cms_screen_60s_20260618/candidates/001_SSL015.native_b2_pkcs7_decode_candidate.yml/.formtrig/formtrig_seed_readiness.json,/home/cwh/FORMTRIG/experiments/magma_workspace/magma/targets/openssl/corpus/cms/04ba35e901b2333340bd75d7e2e2d931703f7084,pkcs7_decode_cms_formtrig_seed_readiness
SSL015,openssl,pkcs7_decode,binary-state-null,"id:000001,sha256:6d23343714fe0b80",ROOT,6d23343714fe0b803e44ed03e860cf00b8b72026a9c76a47f4b151bb0cebf463,125,1,0,2,0,0,0,trace:0xda811339c83a1970,1,R=2;T=0,8ccd8c4b813874425a673b6b15e6472665353424df6944e357b0a7d88e59339c,kept_rnt,formal_replay_verified_rnt,experiments/magma_workspace/magma/targets/openssl/corpus/cms,artifacts/formtrig_native_readiness/raw/ssl015_pkcs7_cms_screen_60s_20260618/candidates/001_SSL015.native_b2_pkcs7_decode_candidate.yml/.formtrig/formtrig_seed_readiness.json,/home/cwh/FORMTRIG/experiments/magma_workspace/magma/targets/openssl/corpus/cms/050e5c789037114230746a31cd6ecd4f59f59ba4,pkcs7_decode_cms_formtrig_seed_readiness
SSL015,openssl,pkcs7_decode,binary-state-null,"id:000002,sha256:31ebfbda5617e40d",ROOT,31ebfbda5617e40da095b45838249e162e842fc7be590cdac47a45a5f078df86,238,1,0,2,0,0,0,trace:0xda811339c83a1970,1,R=2;T=0,8ccd8c4b813874425a673b6b15e6472665353424df6944e357b0a7d88e59339c,kept_rnt,formal_replay_verified_rnt,experiments/magma_workspace/magma/targets/openssl/corpus/cms,artifacts/formtrig_native_readiness/raw/ssl015_pkcs7_cms_screen_60s_20260618/candidates/001_SSL015.native_b2_pkcs7_decode_candidate.yml/.formtrig/formtrig_seed_readiness.json,/home/cwh/FORMTRIG/experiments/magma_workspace/magma/targets/openssl/corpus/cms/0685046acd553ca89eaf7e769b9d469eca9ffce6,pkcs7_decode_cms_formtrig_seed_readiness
SSL015,openssl,pkcs7_decode,binary-state-null,"id:000003,sha256:54e40dd9c5bc5539",ROOT,54e40dd9c5bc55391834c7a2d3b60ff03f9750cb8d50427a7c6d0b3f13fb3fb6,215,1,0,2,0,0,0,trace:0xda811339c83a1970,1,R=2;T=0,8ccd8c4b813874425a673b6b15e6472665353424df6944e357b0a7d88e59339c,kept_rnt,formal_replay_verified_rnt,experiments/magma_workspace/magma/targets/openssl/corpus/cms,artifacts/formtrig_native_readiness/raw/ssl015_pkcs7_cms_screen_60s_20260618/candidates/001_SSL015.native_b2_pkcs7_decode_candidate.yml/.formtrig/formtrig_seed_readiness.json,/home/cwh/FORMTRIG/experiments/magma_workspace/magma/targets/openssl/corpus/cms/0a8e8e50f20610d61dae43fdcf8758bb04bfcb77,pkcs7_decode_cms_formtrig_seed_readiness
SSL015,openssl,pkcs7_decode,binary-state-null,"id:000004,sha256:de90f9c2731cb40f",ROOT,de90f9c2731cb40fce82c2f37949f2aa1568ab7b0c90b64f928908a5becc986a,89,1,0,2,0,0,0,trace:0xda811339c83a1970,1,R=2;T=0,8ccd8c4b813874425a673b6b15e6472665353424df6944e357b0a7d88e59339c,kept_rnt,formal_replay_verified_rnt,experiments/magma_workspace/magma/targets/openssl/corpus/cms,artifacts/formtrig_native_readiness/raw/ssl015_pkcs7_cms_screen_60s_20260618/candidates/001_SSL015.native_b2_pkcs7_decode_candidate.yml/.formtrig/formtrig_seed_readiness.json,/home/cwh/FORMTRIG/experiments/magma_workspace/magma/targets/openssl/corpus/cms/0aa4404ca958f026a3171813b544ed4ac5f3b317,pkcs7_decode_cms_formtrig_seed_readiness
SSL015,openssl,pkcs7_decode,binary-state-null,"id:000005,sha256:465257d0358a8a31",ROOT,465257d0358a8a31237bceba73b0b2ba711c4dfdca927bd7f1117899f6d2e94d,445,1,0,2,0,0,0,trace:0xda811339c83a1970,1,R=2;T=0,8ccd8c4b813874425a673b6b15e6472665353424df6944e357b0a7d88e59339c,kept_rnt,formal_replay_verified_rnt,experiments/magma_workspace/magma/targets/openssl/corpus/cms,artifacts/formtrig_native_readiness/raw/ssl015_pkcs7_cms_screen_60s_20260618/candidates/001_SSL015.native_b2_pkcs7_decode_candidate.yml/.formtrig/formtrig_seed_readiness.json,/home/cwh/FORMTRIG/experiments/magma_workspace/magma/targets/openssl/corpus/cms/0d853c347a8458f4f923a7395c897b49e0c081d0,pkcs7_decode_cms_formtrig_seed_readiness
SSL015,openssl,pkcs7_decode,binary-state-null,"id:000006,sha256:c3d02a16abe14b6d",ROOT,c3d02a16abe14b6d319630ad5b48702ff3ce32de0581b4da02eba04413022899,180,1,0,2,0,0,0,trace:0xda811339c83a1970,1,R=2;T=0,8ccd8c4b813874425a673b6b15e6472665353424df6944e357b0a7d88e59339c,kept_rnt,formal_replay_verified_rnt,experiments/magma_workspace/magma/targets/openssl/corpus/cms,artifacts/formtrig_native_readiness/raw/ssl015_pkcs7_cms_screen_60s_20260618/candidates/001_SSL015.native_b2_pkcs7_decode_candidate.yml/.formtrig/formtrig_seed_readiness.json,/home/cwh/FORMTRIG/experiments/magma_workspace/magma/targets/openssl/corpus/cms/0fa550129c6fc37613acf0ca128f0130f92fe251,pkcs7_decode_cms_formtrig_seed_readiness
SSL015,openssl,pkcs7_decode,binary-state-null,"id:000007,sha256:08669a9427272c60",ROOT,08669a9427272c60f3756e32862825ff783b8a54e080aa2e746e22e1104e1bf3,203,1,0,2,0,0,0,trace:0x2ce3042be06d454e,1,R=2;T=0,a2ad565081818ca9ecb4158914c017666d8ab66ad0ae31d29f75e9e4c9797740,kept_rnt,formal_replay_verified_rnt,experiments/magma_workspace/magma/targets/openssl/corpus/cms,artifacts/formtrig_native_readiness/raw/ssl015_pkcs7_cms_screen_60s_20260618/candidates/001_SSL015.native_b2_pkcs7_decode_candidate.yml/.formtrig/formtrig_seed_readiness.json,/home/cwh/FORMTRIG/experiments/magma_workspace/magma/targets/openssl/corpus/cms/133b49317133f567f5c92b0e8e514528ab32f52a,pkcs7_decode_cms_formtrig_seed_readiness
SSL015,openssl,pkcs7_decode,binary-state-null,"id:000008,sha256:28e11e772db8e8cb",ROOT,28e11e772db8e8cbd4e4ea5526dac3b28699e59883a5594de9def42cb88b3f52,190,1,0,2,0,0,0,trace:0xda811339c83a1970,1,R=2;T=0,8ccd8c4b813874425a673b6b15e6472665353424df6944e357b0a7d88e59339c,kept_rnt,formal_replay_verified_rnt,experiments/magma_workspace/magma/targets/openssl/corpus/cms,artifacts/formtrig_native_readiness/raw/ssl015_pkcs7_cms_screen_60s_20260618/candidates/001_SSL015.native_b2_pkcs7_decode_candidate.yml/.formtrig/formtrig_seed_readiness.json,/home/cwh/FORMTRIG/experiments/magma_workspace/magma/targets/openssl/corpus/cms/138902b817c1494015ec7318e10bb841b8fbb478,pkcs7_decode_cms_formtrig_seed_readiness
SSL015,openssl,pkcs7_decode,binary-state-null,"id:000009,sha256:b22e97a449a96872",ROOT,b22e97a449a968728e26f269f20616f579a1b228be143b20b4ee4face0168ef4,400,1,0,2,0,0,0,trace:0x2ce3042be06d454e,1,R=2;T=0,a2ad565081818ca9ecb4158914c017666d8ab66ad0ae31d29f75e9e4c9797740,kept_rnt,formal_replay_verified_rnt,experiments/magma_workspace/magma/targets/openssl/corpus/cms,artifacts/formtrig_native_readiness/raw/ssl015_pkcs7_cms_screen_60s_20260618/candidates/001_SSL015.native_b2_pkcs7_decode_candidate.yml/.formtrig/formtrig_seed_readiness.json,/home/cwh/FORMTRIG/experiments/magma_workspace/magma/targets/openssl/corpus/cms/18a499f55ce21ca73d013dc724861fbfa2866594,pkcs7_decode_cms_formtrig_seed_readiness
